wc,gem_name,gem,gem_sector,WKN,YEAR,Total_All_Pop,Total_DBCDiag_Pop,Total_ICPCDiag_Pop,Total_ICPCPat_Pop,Gender_Vrouwen,AGE_CAT_0to5,AGE_CAT_6to10,AGE_CAT_11to20,AGE_CAT_21to30,AGE_CAT_31to40,AGE_CAT_41to50,AGE_CAT_51to60,AGE_CAT_61to70,AGE_CAT_71to80,AGE_CAT_>81,AGE,INHGESTINKH,SES_CAT_SES1,SES_CAT_SES2,SES_CAT_SES3,SES_CAT_SES4,SES_CAT_SES5,Laag_inkomen_1,Wanbet_1,ZVWKHUISARTS,ZVWKFARMACIE,ZVWKZIEKENHUIS,ZVWKOSTENTOTAAL,UniqueMed,UniqueMed_ICPC,UniqueMed_CAT_1,Ext_UniqueMed_CAT_1,UniqueMed_ICPC_CAT_1,Ext_UniqueMed_ICPC_CAT_1,Latest_BMI,Medication_Dependency_ICPC_1,Alcohol_Dependency_ICPC_1,Loneliness_ICPC_1,Obesitas_ICPC_1,OPIOID_MED1,OPIOID_MED_ICPC_1,OPIOID_BELOW55_1,OPIOID_ICPC_BELOW55_1,OPIOID_MULTIPLE_BELOW55_1,OPIOID_ICPC_MULTIPLE_BELOW55_1,NO_DEATH_OPIOID_MULTIPLE_1,NO_DEATH_OPIOID_MULTIPLE_ICPC_1,Laag_inkomen_Medication_Dependency_ICPC_1,Laag_inkomen_OPIOID_MED_1,Laag_inkomen_OPIOID_MED_ICPC_1,Laag_inkomen_OPIOID_MULTIPLE_1,Laag_inkomen_OPIOID_MULTIPLE_ICPC_1
178304,Westland,1783,Delft en omstreken,'s-Gravenzande,2010,20350,190,90,280,10230,1275,1280,2650,2275,2630,3030,2695,2230,1345,705,38.86220758,0,,,,,,,125,130.7866346,313.0189474,1090.029046,1913.67621,3.792436055,0,4295,1005,,,28.43142857,,,,11,885,,350,,95,,20,,,,,,
178304,Westland,1783,Delft en omstreken,'s-Gravenzande,2011,20670,340,90,270,10415,1260,1295,2625,2460,2610,3095,2715,2295,1390,715,39.0570488,28975.18228,1780,3010,4320,5245,5510,670,130,134.1570562,310.0250348,1048.989045,1902.255303,3.894784803,2.916666667,4305,1050,15,11,26.7075,,11,,,955,11,410,11,100,,25,,,35,,15,
178304,Westland,1783,Delft en omstreken,'s-Gravenzande,2012,20900,5570,110,260,10535,1220,1275,2635,2605,2565,3085,2790,2355,1415,735,39.25632198,29052.79058,1865,3045,4435,5305,5510,735,135,132.1404567,283.8181582,1070.373553,1867.292126,3.79994406,3.537313433,4135,1005,20,11,29.056,,11,,11,960,11,415,11,140,11,20,,,30,,15,
178304,Westland,1783,Delft en omstreken,'s-Gravenzande,2013,21320,8170,120,290,10720,1230,1250,2685,2820,2565,3090,2810,2450,1420,785,39.30859811,29198.34339,1865,3285,4405,5470,5375,780,150,132.0785128,241.5628867,1111.630944,1920.732887,3.764261745,3.745098039,4125,1005,35,11,25.87777778,,,,,940,11,375,11,125,,25,,,40,11,20,
178304,Westland,1783,Delft en omstreken,'s-Gravenzande,2014,21600,8010,100,280,10850,1220,1250,2705,2880,2615,3105,2850,2515,1465,795,39.50722701,31445.11968,2010,3320,4430,5515,5385,810,175,136.1116027,233.7575568,1113.862367,1886.948655,3.749596463,3.804878049,4025,1040,20,11,25.665,,11,,,1010,11,380,11,110,11,20,,,60,,25,
178304,Westland,1783,Delft en omstreken,'s-Gravenzande,2015,21630,7910,100,280,10930,1175,1280,2680,2840,2590,3060,2860,2560,1560,795,39.74522172,30723.32961,2065,3210,4460,5600,5405,710,175,143.7248138,227.5985063,1117.728446,1956.367558,3.830952889,3.988505747,4135,1065,25,11,28.3,,11,,,1035,11,410,11,120,11,20,,,50,11,30,11
178304,Westland,1783,Delft en omstreken,'s-Gravenzande,2016,21750,8620,100,290,10985,1180,1315,2635,2835,2660,2985,2885,2560,1620,820,39.90281388,32686.41179,1950,3145,4635,5350,5765,675,130,144.8319457,225.4936588,1167.201705,2016.861662,3.796251597,3.790123457,4105,1075,25,11,29.566,,,,,1045,11,410,11,105,,20,,,45,11,25,
178304,Westland,1783,Delft en omstreken,'s-Gravenzande,2017,22070,8540,100,300,11130,1225,1295,2665,2840,2720,3005,2940,2525,1795,865,40.27943138,33749.06144,1890,3175,4645,5680,5920,645,115,145.2892682,227.2662602,1178.399241,2030.675206,3.84917662,3.430769231,4170,1130,15,11,27.38777778,,,,,1165,11,490,11,125,,20,,,50,,15,
178304,Westland,1783,Delft en omstreken,'s-Gravenzande,2018,22360,7140,120,340,11260,1195,1325,2645,2905,2785,2960,3000,2530,1860,910,40.38563479,34664.12073,1885,3070,4635,5765,6105,685,100,156.0168553,232.838846,1258.010396,2162.8162,3.855165799,4.036585366,4265,1175,20,11,26.457,,,,11,1145,11,470,11,140,11,20,,,50,11,25,11
178304,Westland,1783,Delft en omstreken,'s-Gravenzande,2019,22670,7130,100,380,11450,1210,1305,2705,2865,2895,2965,3050,2530,1945,950,40.53955739,39275.82401,1970,3155,4695,5895,6090,645,95,157.0113317,252.1076762,1193.083952,2128.774578,3.829223682,3.543209877,4310,1110,15,11,0,,,,11,1090,11,450,11,135,,20,,,50,,25,
178304,Westland,1783,Delft en omstreken,'s-Gravenzande,2020,22940,6410,120,420,11595,1260,1265,2715,2885,2960,2940,3105,2555,1990,1005,40.72005563,37847.85693,1965,3225,4755,5930,6370,610,95,156.235674,265.4567613,1175.630673,2125.813879,3.752919099,4.011764706,4090,1070,20,11,0,,,,11,1055,11,405,11,160,11,25,,,55,,30,
191603,Leidschendam-Voorburg,1916,'s-gravenhage en omstreken,'t Lien / De Rietvink,2010,7160,90,170,540,3660,270,335,955,650,595,1145,1470,960,455,285,43.04624656,0,,,,,,,65,114.1689226,297.9795458,1214.676484,2055.672684,4.132441598,0,1810,410,,,25.787,,,,11,285,,105,,30,,11,,,,,,
191603,Leidschendam-Voorburg,1916,'s-gravenhage en omstreken,'t Lien / De Rietvink,2011,7140,90,210,540,3645,255,330,910,690,590,1085,1435,1045,465,290,43.42041256,32490.54039,685,990,1125,1570,2570,250,70,125.4572718,299.2402193,1174.290464,2132.875495,4.215467487,3.597560976,1785,455,70,15,25.12921053,,11,,11,315,11,120,11,30,,11,,,15,,11,
191603,Leidschendam-Voorburg,1916,'s-gravenhage en omstreken,'t Lien / De Rietvink,2012,7070,2140,270,540,3595,245,320,865,700,580,1015,1440,1085,475,300,43.95636924,35034.83588,710,985,1120,1510,2540,310,75,121.4330424,265.4037174,1242.48692,2044.628848,4.174804688,3.632478632,1775,450,65,15,26.38759091,,11,,11,315,11,110,11,40,,11,,,15,,11,
191603,Leidschendam-Voorburg,1916,'s-gravenhage en omstreken,'t Lien / De Rietvink,2013,7090,3160,300,530,3625,255,325,790,770,585,940,1385,1175,485,320,44.220912,32527.81644,725,1000,1110,1615,2410,335,85,127.2043329,242.8612355,1324.854017,2336.149737,4.130658233,3.608510638,1715,410,60,15,26.32956522,,11,,11,290,11,90,11,25,,11,,,20,11,11,
191603,Leidschendam-Voorburg,1916,'s-gravenhage en omstreken,'t Lien / De Rietvink,2014,7060,3080,300,530,3625,290,290,760,760,600,880,1375,1215,530,315,44.61996268,35384.56531,755,1025,1075,1520,2440,320,80,138.452744,252.6107748,1450.110739,2422.860836,4.168385561,3.645021645,1745,425,65,15,25.87416667,,11,,11,305,11,95,11,25,11,11,,,15,,11,
191603,Leidschendam-Voorburg,1916,'s-gravenhage en omstreken,'t Lien / De Rietvink,2015,7000,3060,270,510,3595,295,295,705,765,610,830,1320,1270,535,325,44.93924769,34038.45549,780,1000,1140,1505,2360,300,70,140.3167543,259.2788527,1394.613439,2443.550388,4.234409028,3.756756757,1735,455,65,11,28.1445,,11,,11,335,11,115,11,25,11,11,,,15,,11,
191603,Leidschendam-Voorburg,1916,'s-gravenhage en omstreken,'t Lien / De Rietvink,2016,6960,3330,260,510,3570,300,295,690,695,645,770,1285,1320,555,340,45.40137694,34238.85544,790,1030,1130,1585,2195,330,65,152.8076787,279.039826,1422.4864,2503.373629,4.324925521,4.054794521,1775,505,70,15,27.62285714,,11,,11,340,15,95,11,30,11,15,11,,20,11,11,
191603,Leidschendam-Voorburg,1916,'s-gravenhage en omstreken,'t Lien / De Rietvink,2017,6950,3270,250,490,3560,300,305,675,685,660,750,1220,1330,625,340,45.59124483,35541.81576,825,1010,1175,1575,2135,345,50,158.5177559,295.5050329,1463.53697,2664.007267,4.457412616,4.239583333,1855,510,65,15,28.36888889,11,11,,,375,11,115,11,30,11,11,,,15,,11,
191603,Leidschendam-Voorburg,1916,'s-gravenhage en omstreken,'t Lien / De Rietvink,2018,6940,2710,250,490,3550,315,305,680,655,675,740,1155,1340,675,345,45.71025925,35335.99911,865,1045,1165,1495,2130,360,40,171.2770621,300.8888663,1500.616018,2742.927909,4.507125891,4.04368932,1915,525,75,15,27.56533333,,,,,390,15,120,11,35,11,11,,,20,,11,
191603,Leidschendam-Voorburg,1916,'s-gravenhage en omstreken,'t Lien / De Rietvink,2019,7020,2740,240,530,3585,335,345,650,625,730,740,1130,1315,740,345,45.67897857,38294.6471,865,995,1250,1465,2180,335,50,187.752479,326.7655876,1442.750132,2791.398373,4.391579364,4.004672897,1835,505,75,20,0,,11,,11,360,11,95,11,30,11,15,11,,20,,11,
191603,Leidschendam-Voorburg,1916,'s-gravenhage en omstreken,'t Lien / De Rietvink,2020,7020,2410,220,550,3590,345,350,660,600,765,725,1085,1310,775,360,45.71141039,38012.74735,875,1025,1305,1555,2060,295,60,186.2768644,325.8597063,1430.865352,2708.928216,4.347932869,4.030456853,1735,480,60,15,0,11,,,11,340,11,105,11,35,11,15,,11,25,11,15,11
191603,Leidschendam-Voorburg,1916,'s-gravenhage en omstreken,'t Lien / De Rietvink,2021,7060,11,200,540,3610,340,370,680,595,750,745,1030,1275,845,370,45.77313446,39108.66391,885,1060,1260,1600,2030,260,65,0,0,0,0,4.409245547,4.447619048,1795,525,75,20,0,,,,11,400,11,105,11,30,11,15,,,20,11,11,11
