wijkcode,wijknaam,gemnr,gemnaam,Totale bevolking,Bevolking 19 jaar en ouder,Bevolking 65 jaar en ouder,% eenzaam*,% ernstig eenzaam*,% sociaal eenzaam*,% emotioneel eenzaam*,% 75 jaar en ouder,% eenpersoons huishoudens,% verweduwd,% niet-westers allochtonen,% met beperking*,% met langdurige aandoening*,% met voldoende regie over het eigen leven*,% met goede ervaren gezondheid*
WK000300,Wijk 00,3,Appingedam,12000,9639,1310,46,10,47,31,,36,7,6,20,45,88,69
WK000500,Wijk 00,5,Bedum,10430,8175,787,38,8,42,26,,28,5,3,14,37,91,78
WK000700,Wijk 00 Bellingwolde,7,Bellingwedde,4090,3321,372,47,9,48,29,,30,7,5,19,42,89,72
WK000701,Wijk 01 Oost,7,Bellingwedde,960,821,73,45,7,47,27,,29,4,1,18,41,89,73
WK000702,Wijk 02 Blijham,7,Bellingwedde,3920,3239,468,47,8,49,29,,28,9,2,21,41,89,71
WK000900,Wijk 00 West,9,Ten Boer,5995,4489,534,38,7,39,25,,26,7,3,15,37,91,78
WK000901,Wijk 01 Oost,9,Ten Boer,1355,1034,55,42,8,43,28,,31,4,2,12,37,92,79
WK001000,Wijk 00 Stad,10,Delfzijl,16935,13957,2098,49,11,50,34,,38,8,13,22,47,87,68
WK001001,Wijk 01 Land,10,Delfzijl,695,559,39,42,6,45,25,,25,5,0,12,39,93,77
WK001002,Wijk 02,10,Delfzijl,3645,2907,265,44,8,48,27,,30,6,1,17,42,90,74
WK001003,Wijk 03,10,Delfzijl,3785,2921,230,43,7,46,26,,27,5,1,14,41,91,77
WK001400,Centrum,14,Groningen,22170,20913,604,45,10,40,39,,82,2,10,7,27,92,82
WK001401,Oud-Zuid,14,Groningen,20410,18455,666,43,9,39,36,,73,2,7,8,28,93,82
WK001402,Oud-West,14,Groningen,14860,13141,377,44,9,40,36,,72,2,8,8,28,93,81
WK001403,Oud-Noord,14,Groningen,18515,16043,420,47,11,43,39,,71,2,15,11,30,90,77
WK001404,Oosterparkwijk,14,Groningen,11650,10199,424,47,11,44,39,,68,3,13,13,32,89,76
WK001405,Zuidoost,14,Groningen,2195,1852,27,41,8,40,31,,53,1,9,8,28,93,83
WK001406,Helpman e.o.,14,Groningen,19105,15725,1770,43,9,42,33,,57,5,10,13,33,91,78
WK001407,Zuidwest,14,Groningen,10990,9164,1365,44,9,43,33,,51,7,8,17,36,89,75
WK001408,Hoogkerk e.o.,14,Groningen,12275,8858,706,41,8,42,27,,27,4,5,14,35,91,78
WK001409,Nieuw-West,14,Groningen,16770,12887,1255,45,9,44,34,,48,5,14,16,35,90,75
WK001410,Noordwest,14,Groningen,17930,14980,1760,50,11,47,40,,62,6,22,18,35,88,72
WK001411,Noordoost,14,Groningen,16570,12503,254,44,10,45,32,,39,2,13,13,35,90,77
WK001412,Noorddijk e.o.,14,Groningen,16440,12604,675,43,9,43,30,,35,3,10,14,37,91,77
WK001413,Meerdorpen,14,Groningen,1060,818,61,40,7,41,25,,27,3,2,11,35,93,80
WK001500,Wijk 00 Grootegast,15,Grootegast,5350,4061,513,43,8,45,27,,28,6,2,16,34,91,77
WK001501,Wijk 01 Lutjegast,15,Grootegast,1140,840,42,39,6,43,24,,23,3,1,10,29,93,82
WK001502,Wijk 02 Opende,15,Grootegast,2840,2145,173,42,7,44,25,,24,4,1,13,32,92,79
WK001503,Wijk 03 Oldekerk,15,Grootegast,2825,2166,195,41,7,43,25,,26,4,1,12,32,92,81
WK001700,Wijk 00 Centrum,17,Haren,17235,13666,2395,40,8,41,28,,37,7,4,14,37,91,78
WK001701,Wijk 01 Land,17,Haren,1840,1557,162,41,7,42,27,,24,4,8,12,34,92,81
WK001801,Wijk 01 Foxham en Hoogezand-Noord,18,Hoogezand-Sappemeer,6690,5570,845,49,10,49,34,,47,9,8,21,41,87,70
WK001802,Wijk 02 Hoogezand-Zuid,18,Hoogezand-Sappemeer,11920,9267,1213,52,11,51,35,,38,7,23,24,42,86,68
WK001803,Wijk 03 Kalkwijk,18,Hoogezand-Sappemeer,3045,2378,367,42,7,44,26,,26,8,5,16,38,92,78
WK001805,Wijk 05 Kiel-Windeweer,18,Hoogezand-Sappemeer,880,704,36,41,7,43,24,,22,3,2,13,35,92,79
WK001806,Wijk 06 Kropswolde,18,Hoogezand-Sappemeer,1635,1325,98,40,6,43,24,,21,5,3,10,35,94,81
WK001807,Wijk 07 Foxhol,18,Hoogezand-Sappemeer,980,767,54,47,10,48,32,,40,4,6,17,40,88,73
WK001808,Wijk 08 Westerbroek,18,Hoogezand-Sappemeer,835,684,40,43,7,44,27,,30,5,2,12,36,91,78
WK001809,Wijk 09 Waterhuizen,18,Hoogezand-Sappemeer,25,,26,40,5,41,24,,29,,,13,36,93,78
WK001811,Wijk 11 Sappemeer,18,Hoogezand-Sappemeer,8160,6565,601,46,9,48,30,,32,5,5,19,40,88,73
WK002200,Wijk 00 Leek,22,Leek,10705,8322,1220,44,8,45,28,,32,7,4,16,37,90,77
WK002201,Wijk 01 Zevenhuizen,22,Leek,2795,2169,205,42,7,44,25,,24,5,1,11,32,93,81
WK002202,Wijk 02 Tolbert,22,Leek,4495,3537,278,43,8,45,28,,29,4,3,14,37,91,78
WK002204,Wijk 04 Midwolde,22,Leek,400,312,24,41,6,43,25,,25,7,1,10,32,94,82
WK002205,Wijk 05 Lettelbert,22,Leek,165,139,14,43,7,45,24,,24,5,2,11,32,93,80
WK002206,Wijk 06 Oostwold,22,Leek,650,512,30,42,7,44,26,,30,3,1,13,34,92,79
WK002207,Wijk 07 Enumatil,22,Leek,315,,234,38,6,40,23,,25,1,1,10,32,94,83
WK002400,Wijk 00,24,Loppersum,3595,2847,351,42,8,44,28,,32,7,2,18,42,90,73
WK002401,Wijk 01 Stedum,24,Loppersum,1660,1289,84,40,7,42,25,,28,3,2,12,38,91,77
WK002402,Wijk 02 Middelstum,24,Loppersum,2660,2033,222,42,8,45,29,,34,6,3,16,38,90,76
WK002403,Wijk 03 't Zandt,24,Loppersum,2125,1642,106,44,8,45,27,,30,4,1,15,41,90,74
WK002500,Wijk 00 Marum,25,Marum,7980,6206,608,43,7,45,26,,26,5,2,14,34,91,79
WK002501,Wijk 01 De Wilp,25,Marum,2320,1847,127,42,7,46,25,,27,4,1,12,33,92,80
WK003401,Wijk 01 Almere Haven,34,Almere,22135,17554,1270,49,13,47,38,,37,4,19,19,39,88,69
WK003402,Wijk 02 Almere Stad,34,Almere,107995,81712,4051,49,12,48,38,,31,3,31,16,35,89,72
WK003403,Wijk 03 Almere Buiten,34,Almere,55895,41033,1678,48,13,47,37,,29,2,30,15,35,89,72
WK003404,Wijk 04 Almere Poort,34,Almere,10380,8064,100,49,12,47,39,,34,1,42,10,27,91,79
