WKC,GMN,Wijknaam,YEAR,Cluster_Reworked
WK051801,Gemeente 's-Gravenhage, Wijk 01 Oostduinen,2011,4
WK051802,Gemeente 's-Gravenhage, Wijk 02 Belgisch Park,2011,4
WK051804,Gemeente 's-Gravenhage, Wijk 04 Benoordenhout,2011,4
WK051805,Gemeente 's-Gravenhage, Wijk 05 Archipelbuurt,2011,4
WK051806,Gemeente 's-Gravenhage, Wijk 06 Van Stolkpark en Scheveningse Bo,2011,4
WK051809,Gemeente 's-Gravenhage, Wijk 09 Geuzen- en Statenkwartier,2011,4
WK051810,Gemeente 's-Gravenhage, Wijk 10 Zorgvliet,2011,4
WK051812,Gemeente 's-Gravenhage, Wijk 12 Bomen- en Bloemenbuurt,2011,4
WK051813,Gemeente 's-Gravenhage, Wijk 13 Vogelwijk,2011,4
WK051819,Gemeente 's-Gravenhage, Wijk 19 Vruchtenbuurt,2011,4
WK051823,Gemeente 's-Gravenhage, Wijk 23 Willemspark,2011,4
WK051841,Gemeente 's-Gravenhage, Wijk 41 Hoornwijk,2011,4
WK051843,Gemeente 's-Gravenhage, Wijk 43 Forepark,2011,4
WK060301,Gemeente Rijswijk, Wijk 01,2011,4
WK060303,Gemeente Rijswijk, Wijk 03,2011,4
WK060305,Gemeente Rijswijk, Wijk 05,2011,4
WK060310,Gemeente Rijswijk, Wijk 10,2011,4
WK060311,Gemeente Rijswijk, Wijk 11,2011,4
WK062900,Gemeente Wassenaar, Wijk 00 Zuidwestelijk deel der gemeente,2011,4
WK062901,Gemeente Wassenaar, Wijk 01 Noordoostelijk deel der gemeente,2011,4
WK191604,Gemeente Leidschendam-Voorburg, Wijk Stompwijk,2011,4
WK191612,Gemeente Leidschendam-Voorburg, Wijk Voorburg West / Park Leeuwenbergh,2011,4
WK191613,Gemeente Leidschendam-Voorburg, Wijk Voorburg Oud,2011,4
WK051803,Gemeente 's-Gravenhage, Wijk 03 Westbroekpark en Duttendel,2011,2
WK051807,Gemeente 's-Gravenhage, Wijk 07 Scheveningen,2011,2
WK051808,Gemeente 's-Gravenhage, Wijk 08 Duindorp,2011,2
WK051814,Gemeente 's-Gravenhage, Wijk 14 Bohemen en Meer en Bos,2011,2
WK051815,Gemeente 's-Gravenhage, Wijk 15 Kijkduin en Ockenburgh,2011,2
WK051816,Gemeente 's-Gravenhage, Wijk 16 Kraayenstein en Vroondaal,2011,2
WK051817,Gemeente 's-Gravenhage, Wijk 17 Loosduinen,2011,2
